Season,Month,Date,Temperature 
Winter,Jan,1,2.4
Winter,Jan,2,2.3
Winter,Jan,3,2.4
Winter,Jan,4,2.8
Winter,Jan,5,2.5
Winter,Jan,6,2.4
Winter,Jan,7,2.8
Winter,Jan,8,2.3
Winter,Jan,9,2.4
Winter,Jan,10,2.8
Winter,Jan,11,2.4
Winter,Jan,12,2.5
Winter,Jan,13,2.6
Winter,Jan,14,2.8
Winter,Jan,15,3.4
Winter,Jan,16,3.9
Winter,Jan,17,3.3
Winter,Jan,18,3.3
Winter,Jan,19,2.8
Winter,Jan,20,2.4
Winter,Jan,21,2.5
Winter,Jan,22,2.3
Winter,Jan,23,2.7
Winter,Jan,24,2.4
Winter,Jan,25,3.5
Winter,Jan,26,2.5
Winter,Jan,27,2.6
Winter,Jan,28,2.8
Winter,Jan,29,3.1
Winter,Jan,30,2.5
Winter,Jan,31,2.4
Summer,Feb,1,3.1
Summer,Feb,2,3.3
Summer,Feb,3,3.3
Summer,Feb,4,3.9
Summer,Feb,5,3.3
Summer,Feb,6,3.1
Summer,Feb,7,2.8
Summer,Feb,8,2.9
Summer,Feb,9,3.4
Summer,Feb,10,3
Summer,Feb,11,3.5
Summer,Feb,12,3.2
Summer,Feb,13,2.8
Summer,Feb,14,3.7
Summer,Feb,15,3.7
Summer,Feb,16,3.4
Summer,Feb,17,3.2
Summer,Feb,18,2.6
Summer,Feb,19,2.8
Summer,Feb,20,3
Summer,Feb,21,4
Summer,Feb,22,3.9
Summer,Feb,23,3.3
Summer,Feb,24,3.2
Summer,Feb,25,2.8
Summer,Feb,26,2.9
Summer,Feb,27,3.3
Summer,Feb,28,3
Summer,Mar,1,3.2
Summer,Mar,2,2.7
Summer,Mar,3,2.5
Summer,Mar,4,3.6
Summer,Mar,5,3.3
Summer,Mar,6,2.8
Summer,Mar,7,2.7
Summer,Mar,8,3.2
Summer,Mar,9,3.2
Summer,Mar,10,2.6
Summer,Mar,11,3.7
Summer,Mar,12,3.1
Summer,Mar,13,3.3
Summer,Mar,14,3
Summer,Mar,15,3.2
Summer,Mar,16,2.7
Summer,Mar,17,2.5
Summer,Mar,18,2.9
Summer,Mar,19,3.1
Summer,Mar,20,3.3
Summer,Mar,21,3.4
Summer,Mar,22,2.5
Summer,Mar,23,2.6
Summer,Mar,24,3
Summer,Mar,25,3.3
Summer,Mar,26,3.4
Summer,Mar,27,2.6
Summer,Mar,28,3.9
Summer,Mar,29,3.8
Summer,Mar,30,3.4
Summer,Mar,31,3.3
Summer,Apr,1,2.6
Summer,Apr,2,3.4
Summer,Apr,3,3.4
Summer,Apr,4,3.2
